Index,Title,Subtitle,Downloads,Link
51-75,"Inventors at Work, with Chapters on Discovery",George Iles,2374 downloads,/ebooks/48454
51-75,"Transactions of the American Society of Civil Engineers, vol. LXXII, June, 1911",E. D. Hardy and American Society of Civil Engineers,2352 downloads,/ebooks/27632
51-75,Discoveries and Inventions of the Nineteenth Century,Robert Routledge,2347 downloads,/ebooks/54475
51-75,"The engineer's sketch-book of mechanical movements, devices, appliances, contrivances and details employed in the design and construction of machinery for every purpose :  classified & arranged for reference for the use of engineers, mechanical draughtsmen, managers, mechanics, inventors, patent agents, and all engaged in the mechanical arts",Thomas Walter Barber,2342 downloads,/ebooks/58391
51-75,Edison: His Life and Inventions,Frank Lewis Dyer and Thomas Commerford Martin,2333 downloads,/ebooks/820
51-75,Rambles on Railways,Sir Cusack P. Roney,2314 downloads,/ebooks/49061
51-75,Aviation in Peace and War,Sir Frederick Hugh Sykes,2307 downloads,/ebooks/25244
51-75,Modern ships of war,Sir Edward J. Reed and Edward Simpson,2162 downloads,/ebooks/73887
51-75,The Invention of Printing.,Theodore Low De Vinne,2158 downloads,/ebooks/51034
51-75,"Encyclopaedia Britannica, 11th Edition, ""Destructors"" to ""Diameter""",Various,2134 downloads,/ebooks/30073
51-75,"Scientific American, Volume 56, No. 9, February 26, 1887",Various,2128 downloads,/ebooks/48300
51-75,"The life of Isambard Kingdom Brunel, Civil Engineer",Isambard Brunel,2127 downloads,/ebooks/41210
51-75,Panama and the Canal in Picture and Prose,Willis J. Abbot,2051 downloads,/ebooks/64476
51-75,Learning to Fly: A Practical Manual for Beginners,Claude Grahame-White and Harry Harper,2047 downloads,/ebooks/27557
51-75,Lives of Boulton and Watt. Principally from the Original Soho Mss.,Samuel Smiles,2046 downloads,/ebooks/52069
51-75,Garden Cities of To-Morrow,Sir Ebenezer Howard,2044 downloads,/ebooks/46134
51-75,My Life and Work,Henry Ford and Samuel Crowther,2017 downloads,/ebooks/7213
51-75,Carriages & Coaches: Their History & Their Evolution,Ralph Straus,2013 downloads,/ebooks/46216
51-75,"The inventions, researches and writings of Nikola Tesla",Thomas Commerford Martin,1995 downloads,/ebooks/39272
51-75,English and American tool builders,Joseph Wickham Roe,1987 downloads,/ebooks/72046
51-75,"The Rare Earths: Their Occurrence, Chemistry, and Technology",Stanley Isaac Levy,1964 downloads,/ebooks/62923
76-100,Terrestrial and Celestial Globes Volume 2,Edward Luther Stevenson,1955 downloads,/ebooks/39867
76-100,Catechism of the locomotive,Matthias N. Forney and Georg Kosak,1939 downloads,/ebooks/76379
76-100,"The Rise of Rail-Power in War and Conquest, 1833-1914",Edwin A. Pratt,1931 downloads,/ebooks/42438
76-100,The Life of George Stephenson and of his Son Robert Stephenson,Samuel Smiles,1930 downloads,/ebooks/46229
76-100,Steamships and their story,E. Keble Chatterton,1904 downloads,/ebooks/72045
76-100,Aircraft and Submarines,Willis J. Abbot,1893 downloads,/ebooks/30047
76-100,"Gunpowder and Ammunition, Their Origin and Progress",H. W. L. Hime,1873 downloads,/ebooks/54411
76-100,Woodworking Tools 1600-1900,Peter C. Welsh,1872 downloads,/ebooks/27238
76-100,The Panama Canal,Frederic J. Haskin,1854 downloads,/ebooks/41807
76-100,Aërial Navigation,Albert Francis Zahm,1843 downloads,/ebooks/60277
76-100,Aviation Engines: Design—Construction—Operation and Repair,Victor Wilfred Pagé,1839 downloads,/ebooks/38187
76-100,Soap-Making Manual,Edgar George Thomssen,1826 downloads,/ebooks/34114
76-100,"Cyclopedia of Telephony and Telegraphy, Vol. 1",American School of Correspondence,1798 downloads,/ebooks/15617
76-100,Passages from the Life of a Philosopher,Charles Babbage,1784 downloads,/ebooks/57532
76-100,Twentieth Century Inventions: A Forecast,George Sutherland,1770 downloads,/ebooks/31243
76-100,Lives of the Engineers,Samuel Smiles,1769 downloads,/ebooks/27710
76-100,The Manufacture of Paper,R. W. Sindall,1738 downloads,/ebooks/46449
76-100,"History of the Royal Sappers and Miners, Volume 2 (of 2)",T. W. J. Connolly,1724 downloads,/ebooks/59260
76-100,The American Printer: A Manual of Typography,Thomas MacKellar,1695 downloads,/ebooks/56817
76-100,The Modern Railroad,Edward Hungerford,1672 downloads,/ebooks/40242
76-100,The Pencil of Nature,William Henry Fox Talbot,1655 downloads,/ebooks/33447
76-100,Flying Machines: Construction and Operation,"William J. Jackman, Thomas Herbert Russell, and Octave Chanute",1646 downloads,/ebooks/907
76-100,"Life of Richard Trevithick, with an Account of His Inventions. Volume 2 (of 2)",Francis Trevithick,1619 downloads,/ebooks/46634
101-125,"Encyclopaedia Britannica, 11th Edition, ""Joints"" to ""Justinian I.""",Various,1605 downloads,/ebooks/40956
101-125,The Steam Engine Explained and Illustrated (Seventh Edition),Dionysius Lardner,1591 downloads,/ebooks/42602
101-125,"Tube, Train, Tram, and Car; or, Up-to-date locomotion",Arthur H. Beavan,1587 downloads,/ebooks/55793
101-125,The Boy Electrician,Alfred Powell Morgan,1576 downloads,/ebooks/63207
101-125,"The works of the highly experienced and famous chymist, John Rudolph Glauber :  containing, great variety of choice secrets in medicine and alchymy in the working of metallick mines, and the separation of metals: also, various cheap and easie ways of making salt-petre, and improving of barren-land, and the fruits of the earth.",Johann Rudolf Glauber,1570 downloads,/ebooks/74240
101-125,Early American Scientific Instruments and Their Makers,Silvio A. Bedini,1565 downloads,/ebooks/39141
101-125,The automobile owner's guide,Frank B. Scholl,1565 downloads,/ebooks/69375
101-125,The Automobile Storage Battery: Its Care And Repair,Otto A. Witte,1560 downloads,/ebooks/29718
101-125,Makers of Many Things,Eva March Tappan,1555 downloads,/ebooks/28569
101-125,The Municipal and Sanitary Engineer's Handbook,H. Percy Boulnois,1551 downloads,/ebooks/55935
101-125,"Textiles, for Commercial, Industrial, and Domestic Arts Schools",William H. Dooley,1529 downloads,/ebooks/24077
101-125,Artificial Light: Its Influence upon Civilization,Matthew Luckiesh,1525 downloads,/ebooks/17625
101-125,Ocean Steamships,"J. D. Jerrold Kelley, French Ensor Chadwick, John H. Gould, Ridgely Hunt, William H. Rideing, and A. E. Seaton",1515 downloads,/ebooks/54136
101-125,The Project Gutenberg RST Manual,Marcello Perathoner,1510 downloads,/ebooks/181
101-125,Aircraft :  its development in war and peace and its commercial future,Evan John David,1509 downloads,/ebooks/74358
101-125,Philipp Reis: Inventor of the Telephone,Silvanus P. Thompson,1495 downloads,/ebooks/56542
101-125,"The Story of the Typewriter, 1873-1923",Herkimer County Historical Society,1490 downloads,/ebooks/60794
101-125,Lightships and Lighthouses,Frederick Arthur Ambrose Talbot,1485 downloads,/ebooks/52817
101-125,The Invention of the Sewing Machine,Grace Rogers Cooper,1475 downloads,/ebooks/32677
101-125,"Giant brains; or, Machines that think",Edmund Callis Berkeley,1466 downloads,/ebooks/68991
101-125,The Modern Bicycle and Its Accessories,Alex Schwalbach and Julius Wilcox,1465 downloads,/ebooks/58444
101-125,The Standard Electrical Dictionary,T. O'Conor Sloane,1464 downloads,/ebooks/26535
101-125,"Pumps and Hydraulics, Part 1 (of 2)",N. Hawkins,1459 downloads,/ebooks/56339
